"",ICO Composite,Colombian,,Brazilian,
"",,,Other Milds,,Robustas
"",Indicator (I-CIP),Milds,,Naturals,
01-Feb,171.43,235.92,223.22,191.65,102.31
02-Feb,172.50,237.34,226.26,192.86,102.00
03-Feb,169.47,232.24,221.86,188.61,101.52
06-Feb,171.29,235.17,224.80,190.77,102.02
07-Feb,172.14,235.65,226.72,191.92,102.10
08-Feb,171.23,234.06,225.13,190.38,102.35
09-Feb,169.89,232.17,223.54,188.61,101.71
10-Feb,170.31,233.38,223.14,189.73,101.76
13-Feb,171.50,235.34,224.91,191.24,102.06
14-Feb,175.86,241.56,231.13,197.28,103.26
15-Feb,171.73,235.53,225.11,191.36,102.43
16-Feb,173.91,238.50,228.08,194.25,103.26
17-Feb,177.59,242.86,233.37,199.53,104.40
20-Feb,177.67,241.26,235.07,198.15,105.35
21-Feb,180.49,245.25,239.04,202.09,106.15
22-Feb,183.85,248.76,242.56,205.62,109.23
23-Feb,180.91,245.20,238.99,202.07,107.37
24-Feb,178.96,242.39,234.37,200.55,106.89
27-Feb,177.25,237.56,233.63,198.41,106.04
28-Feb,177.42,237.60,233.67,198.53,106.38
